entry_time,exit_time,position,entry_price,exit_price,size,pnl,exit_reason,bars_held,market_conditions,daily_pnl,trades_today,balance
2025-06-06 20:00:00,2025-06-06 20:15:00,BUY,3325.67,3324.0,0.01,-16.7,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.713914146069086e-07, 'scaled_prediction': 0.0001356957073034543}",-33.4,91,477.2680352128639
2025-06-06 20:30:00,2025-06-06 21:00:00,BUY,3322.14,3315.29,0.01,-57.27216422554366,daily_loss_limit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.414633200468131e-07, 'scaled_prediction': 0.00012073166002340654}",-125.77216422554366,92,419.9958709873202
2025-06-06 21:00:00,2025-06-06 21:30:00,BUY,3315.29,3319.43,0.01,41.4,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.4479368577585876e-07, 'scaled_prediction': 0.0001223968428879294}",82.8,93,461.39587098732017
2025-06-06 21:45:00,2025-06-06 22:15:00,BUY,3317.22,3315.08,0.01,-21.4,stop_loss,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.4293070594200936e-07, 'scaled_prediction': 0.00012146535297100468}",-42.8,94,439.9958709873202
2025-06-06 22:30:00,2025-06-06 22:45:00,BUY,3315.77,3312.46,0.01,-33.1,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.6712598626209654e-07, 'scaled_prediction': 0.00013356299313104826}",-66.2,95,406.89587098732017
2025-06-06 23:00:00,2025-06-06 23:15:00,BUY,3307.53,3311.19,0.01,36.6,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.7763811513636964e-07, 'scaled_prediction': 0.00013881905756818482}",73.2,96,443.4958709873202
2025-06-06 23:30:00,2025-06-06 23:45:00,BUY,3310.85,3309.56,0.01,-12.9,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 3.4178028007740493e-07, 'scaled_prediction': 0.00017089014003870246}",-25.8,97,430.5958709873202
2025-06-09 01:00:00,2025-06-09 01:30:00,BUY,3317.25,3312.24,0.01,-50.1,stop_loss,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 3.8681997088538037e-07, 'scaled_prediction': 0.0001934099854426902}",-100.2,98,380.4958709873202
2025-06-09 01:45:00,2025-06-09 02:45:00,BUY,3314.88,3317.91,0.01,30.3,take_profit,7,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 3.9012377976124577e-07, 'scaled_prediction': 0.0001950618898806229}",60.6,99,410.7958709873202
2025-06-09 03:00:00,2025-06-09 03:15:00,BUY,3311.87,3309.84,0.01,-20.3,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.700745535742546e-07, 'scaled_prediction': 0.0001350372767871273}",-40.6,100,390.4958709873202
2025-06-09 03:30:00,2025-06-09 03:45:00,BUY,3302.66,3305.2,0.01,25.4,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.246496536306265e-07, 'scaled_prediction': 0.00021232482681531325}",50.8,101,415.89587098732017
2025-06-09 04:00:00,2025-06-09 04:45:00,BUY,3305.69,3296.03,0.01,-49.90750451847842,daily_loss_limit,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.8841218849991816e-08, 'scaled_prediction': 2.4420609424995907e-05}",-146.5075045184784,102,365.9883664688418
2025-06-09 04:45:00,2025-06-09 05:15:00,BUY,3296.03,3301.87,0.01,58.4,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 4.8841218815353376e-08, 'scaled_prediction': 2.442060940767669e-05}",116.8,103,424.38836646884175
